City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,murzuq,25.9155,13.9184,25.39,32,0,4.63,LY,1691637535
326,sidi ifni,29.3797,-10.173,25.62,58,20,0.44,MA,1691637262
327,lhasa,29.65,91.1,18.9,58,20,1.87,CN,1691637535
328,khandyga,62.6667,135.6,25.43,32,21,1.07,RU,1691637419
329,medianeira,-25.2953,-54.0939,16.58,94,42,1.45,BR,1691637535
330,rosario del tala,-32.3029,-59.1455,13.09,91,82,3.17,AR,1691637129
331,trujillo,-8.116,-79.03,21.98,83,100,3.09,PE,1691637279
332,volgodonsk,47.5136,42.1514,24.31,66,80,1.92,RU,1691637535
333,broome,42.2506,-75.833,19.26,93,95,1.12,US,1691637377
334,el alto,-4.2714,-81.2147,20.0,85,20,6.63,PE,1691637390
335,kailua-kona,19.6406,-155.9956,29.98,67,75,4.63,US,1691637117
336,bardai,11.65,7.2333,20.81,95,99,3.91,NG,1691637536
337,faya-largeau,17.9257,19.1043,31.11,56,100,6.35,TD,1691637426
338,mayya,61.7333,130.2811,19.62,38,56,3.97,RU,1691637536
339,riberalta,-10.9833,-66.1,28.5,50,68,0.93,BO,1691637536
340,nemuro,43.3236,145.575,20.69,94,100,7.26,JP,1691637440
341,polyarnyy,69.1989,33.4478,17.61,78,0,3.53,RU,1691637409
342,blythe,33.6103,-114.5964,39.25,21,40,5.66,US,1691637469
343,guiuan,11.0333,125.7247,29.02,75,92,4.77,PH,1691637536
344,grissom air force base,40.6575,-86.1476,19.58,96,100,1.54,US,1691637536
345,san andres,12.5847,-81.7006,29.01,84,20,3.6,CO,1691637536
346,mossel bay,-34.1831,22.146,15.02,74,0,1.58,ZA,1691637248
347,antsiranana,-12.2787,49.2917,19.63,85,0,2.05,MG,1691637157
348,guerrero negro,27.9769,-114.0611,21.9,85,2,7.35,MX,1691637463
349,benjamin aceval,-24.9667,-57.5667,19.22,96,34,1.76,PY,1691637536
350,vizinga,61.0749,50.1031,18.22,73,9,0.68,RU,1691637536
351,vakarai,55.6035,23.8213,12.29,91,100,2.43,LT,1691637537
352,rimouski,48.4488,-68.524,12.1,99,100,2.98,CA,1691637508
353,salalah,17.0151,54.0924,26.05,94,100,3.6,OM,1691637537
354,lorengau,-2.0226,147.2712,28.29,77,97,7.47,PG,1691637157
355,bela vista,-22.1089,-56.5211,22.61,69,0,0.98,BR,1691637537
356,tarinkot,32.6268,65.8733,30.46,13,0,0.61,AF,1691637537
357,muroto-misakicho,33.2833,134.15,27.33,89,27,9.33,JP,1691637537
358,vanimo,-2.6741,141.3028,29.62,70,61,3.28,PG,1691637537
359,meadow lakes,61.6247,-149.6011,17.28,85,100,0.0,US,1691637537
360,mana,5.6592,-53.7767,25.58,90,13,5.2,GF,1691637431
361,nyrob,60.733,56.7202,16.03,65,96,2.58,RU,1691637537
